run_dir,batch_idx,layer,weight_name,delta_norm,trust_enable,trust_score,trust_applied,trust_action,trust_scale
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,0,6,transformer.h.6.mlp.c_proj.weight,57.68313770422763,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,1,6,transformer.h.6.mlp.c_proj.weight,67.40964654454937,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,2,6,transformer.h.6.mlp.c_proj.weight,65.28966447354242,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,3,6,transformer.h.6.mlp.c_proj.weight,65.96162235653588,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,4,6,transformer.h.6.mlp.c_proj.weight,65.3070975349426,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,5,6,transformer.h.6.mlp.c_proj.weight,64.98934801242531,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,6,6,transformer.h.6.mlp.c_proj.weight,58.86981777117853,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,7,6,transformer.h.6.mlp.c_proj.weight,62.35307905435886,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,8,6,transformer.h.6.mlp.c_proj.weight,59.13286642004916,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,9,6,transformer.h.6.mlp.c_proj.weight,81.12467375632193,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,10,6,transformer.h.6.mlp.c_proj.weight,65.86390059086433,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,11,6,transformer.h.6.mlp.c_proj.weight,66.53210183303163,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_lora_r16,12,6,transformer.h.6.mlp.c_proj.weight,47.133154940695064,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,0,6,transformer.h.6.mlp.c_proj.weight,57.68313770422763,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,1,6,transformer.h.6.mlp.c_proj.weight,67.40885711992439,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,2,6,transformer.h.6.mlp.c_proj.weight,67.0922523252281,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,3,6,transformer.h.6.mlp.c_proj.weight,66.91893277541915,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,4,6,transformer.h.6.mlp.c_proj.weight,66.4546003832547,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,5,6,transformer.h.6.mlp.c_proj.weight,65.35560785813702,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,6,6,transformer.h.6.mlp.c_proj.weight,56.92434106989933,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,7,6,transformer.h.6.mlp.c_proj.weight,63.41024228608653,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,8,6,transformer.h.6.mlp.c_proj.weight,66.5265722270641,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,9,6,transformer.h.6.mlp.c_proj.weight,75.13021488270081,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,10,6,transformer.h.6.mlp.c_proj.weight,64.01660555403089,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,11,6,transformer.h.6.mlp.c_proj.weight,63.64938262056309,False,,False,none,1.0
results\emmet_lora_compare_20251117_032316\emmet_raw,12,6,transformer.h.6.mlp.c_proj.weight,46.802827943510124,False,,False,none,1.0
