run_dir,method,batch_size,replay_rate,efficacy_success,paraphrase_success,neighborhood_specificity,composite_score,trust_score_mean,trust_score_std,events
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,emmet,16,0.0,0.99,0.9225,0.521,0.8111666666666667,,,13
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,emmet,16,0.3,0.985,0.92,0.522,0.809,,,13
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,emmet,16,0.3,0.72,0.6875,0.5770000000000001,0.6615000000000001,,,13
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,emmet,16,0.3,0.72,0.6875,0.5770000000000001,0.6615000000000001,,,13
