run_dir,method,model,num_edits,seed,batch_size,replay_rate,replay_buffer_size,replay_strategy,replay_weight,use_lora,edit_mode,lora_rank,lora_alpha,lora_scale,lora_use_svd,lora_fit_steps,trust_enable,trust_threshold,trust_action,trust_scale,trust_heldout_samples,dataset,device,timestamp,hparams_path,data_path,efficacy_success,paraphrase_success,neighborhood_specificity,num_examples,num_evaluated,composite_score,duration_seconds,duration_formatted,lora_residual_rel_mean,lora_residual_rel_count,lora_fallback_rate,lora_fallback_count,lora_event_count,batch_size_numeric,events,trust_score_mean,trust_score_std,rollback_count,scale_count,applied_count
results\emmet_lora_trust_replay_20251117_033643\emmet_b16,emmet,gpt2,200,42,16,0.0,200,random,1.0,False,raw,16,16.0,1.0,True,0,False,0.3,rollback,0.5,0,counterfact_500,cuda,2025-11-17T03:36:44.967525,D:\temp\emmet-stability-replay\src\hparams\EMMET\gpt2.json,D:\temp\emmet-stability-replay\data\counterfact_500.json,0.99,0.9225,0.521,200,200,0.8111666666666667,74.565926,0:01:14.565926,,0,,0,0,16,13,,,0,0,0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3,emmet,gpt2,200,42,16,0.3,200,random,1.0,False,raw,16,16.0,1.0,True,0,False,0.3,rollback,0.5,0,counterfact_500,cuda,2025-11-17T03:38:01.535400,D:\temp\emmet-stability-replay\src\hparams\EMMET\gpt2.json,D:\temp\emmet-stability-replay\data\counterfact_500.json,0.985,0.92,0.522,200,200,0.809,76.214177,0:01:16.214177,,0,,0,0,16,13,,,0,0,0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,emmet,gpt2,200,42,16,0.3,200,random,1.0,False,lora_native,16,16.0,1.0,True,0,False,0.3,rollback,0.5,0,counterfact_500,cuda,2025-11-17T03:39:19.815605,D:\temp\emmet-stability-replay\src\hparams\EMMET\gpt2.json,D:\temp\emmet-stability-replay\data\counterfact_500.json,0.72,0.6875,0.5770000000000001,200,200,0.6615000000000001,82.58676,0:01:22.586760,-0.41032119345282597,13,0.46153846153846156,6,13,16,13,,,0,0,0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,emmet,gpt2,200,42,16,0.3,200,random,1.0,False,lora_native,16,16.0,1.0,True,0,True,0.3,rollback,0.5,0,counterfact_500,cuda,2025-11-17T03:40:44.642542,D:\temp\emmet-stability-replay\src\hparams\EMMET\gpt2.json,D:\temp\emmet-stability-replay\data\counterfact_500.json,0.72,0.6875,0.5770000000000001,200,200,0.6615000000000001,83.211671,0:01:23.211671,-0.41032119345282597,13,0.46153846153846156,6,13,16,13,,,0,0,0
