run_dir,batch_idx,layer,weight_name,delta_norm,trust_enable,trust_score,trust_applied,trust_action,trust_scale
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,2,6,transformer.h.6.mlp.c_proj.weight,68.85283513644944,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,3,6,transformer.h.6.mlp.c_proj.weight,67.84317924988606,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,4,6,transformer.h.6.mlp.c_proj.weight,66.99790062991653,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,5,6,transformer.h.6.mlp.c_proj.weight,70.43378923794322,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,6,6,transformer.h.6.mlp.c_proj.weight,61.5104442571519,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,7,6,transformer.h.6.mlp.c_proj.weight,66.71991920354576,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,8,6,transformer.h.6.mlp.c_proj.weight,62.08729597074177,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,9,6,transformer.h.6.mlp.c_proj.weight,86.243771333803,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,10,6,transformer.h.6.mlp.c_proj.weight,64.51441009797512,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,11,6,transformer.h.6.mlp.c_proj.weight,67.58119175651188,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16,12,6,transformer.h.6.mlp.c_proj.weight,51.18202656360056,False,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,0,6,transformer.h.6.mlp.c_proj.weight,57.68313770422763,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,1,6,transformer.h.6.mlp.c_proj.weight,67.84321749110377,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,2,6,transformer.h.6.mlp.c_proj.weight,68.85283513644944,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,3,6,transformer.h.6.mlp.c_proj.weight,67.84317924988606,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,4,6,transformer.h.6.mlp.c_proj.weight,66.99790062991653,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,5,6,transformer.h.6.mlp.c_proj.weight,70.43378923794322,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,6,6,transformer.h.6.mlp.c_proj.weight,61.5104442571519,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,7,6,transformer.h.6.mlp.c_proj.weight,66.71991920354576,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,8,6,transformer.h.6.mlp.c_proj.weight,62.08729597074177,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,9,6,transformer.h.6.mlp.c_proj.weight,86.243771333803,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,10,6,transformer.h.6.mlp.c_proj.weight,64.51441009797512,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,11,6,transformer.h.6.mlp.c_proj.weight,67.58119175651188,True,,False,none,1.0
results\emmet_lora_trust_replay_20251117_033643\emmet_b16_r0.3_l16_trust,12,6,transformer.h.6.mlp.c_proj.weight,51.18202656360056,True,,False,none,1.0
