method,batch_size,replay_rate,replay_strategy,replay_buffer_size,efficacy_success,paraphrase_success,neighborhood_specificity,composite_score
<<<<<<< HEAD
memit,32,0.0,random,200,0.975,0.8875,0.7360000000000001,0.8661666666666666
rome,1,0.0,random,200,0.705,0.7,0.5209999999999999,0.6419999999999999
=======
emmet,32,0.0,random,200,0.992,0.944,0.6356,0.8572000000000001
memit,32,0.0,random,200,0.968,0.875,0.718,0.8536666666666667
rome,1,0.0,random,200,0.59,0.562,0.5067999999999999,0.5529333333333334
>>>>>>> 4fb0aa6 (Add new metrics and trust event files for baseline comparison)
