run_dir,method,model,num_edits,seed,batch_size,replay_rate,replay_buffer_size,replay_strategy,replay_weight,use_lora,edit_mode,lora_rank,lora_alpha,lora_scale,lora_use_svd,lora_fit_steps,trust_enable,trust_threshold,trust_action,trust_scale,trust_heldout_samples,dataset,device,timestamp,hparams_path,data_path,efficacy_success,paraphrase_success,neighborhood_specificity,num_examples,num_evaluated,composite_score,duration_seconds,duration_formatted,lora_residual_rel_mean,lora_residual_rel_count,lora_fallback_rate,lora_fallback_count,lora_event_count
results\emmet_lora_compare_20251117_030102\emmet_lora_r64,emmet,gpt2,200,42,16,0.0,200,random,1.0,False,lora_native,64,64.0,1.0,True,0,False,0.3,rollback,0.5,0,counterfact_500,cuda,2025-11-17T03:02:20.968408,D:\temp\emmet-stability-replay\src\hparams\EMMET\gpt2.json,D:\temp\emmet-stability-replay\data\counterfact_500.json,0.96,0.87,0.53,200,200,0.7866666666666667,76.431495,0:01:16.431495,0.13150545728701848,13,0.0,0,13
results\emmet_lora_compare_20251117_030102\emmet_raw,emmet,gpt2,200,42,16,0.0,200,random,1.0,False,raw,8,16.0,1.0,True,0,False,0.3,rollback,0.5,0,counterfact_500,cuda,2025-11-17T03:01:03.716030,D:\temp\emmet-stability-replay\src\hparams\EMMET\gpt2.json,D:\temp\emmet-stability-replay\data\counterfact_500.json,0.99,0.9225,0.521,200,200,0.8111666666666667,75.255274,0:01:15.255274,,0,,0,0
